unixTime,referencePressurePump,measuredPressurePump * 100,referencePressureValve,measuredPressureValve * 100,valvePWM,forceSensorValue * 100
1759181411.0668085,20.0,2045.0,0.0,1948.0,63.0,10279.0
1759181411.1307213,20.0,2009.0,0.0,1948.0,63.0,10349.0
1759181411.2659667,20.0,2021.0,0.0,1972.0,63.0,10373.0
1759181411.3943915,20.0,2021.0,0.0,1972.0,63.0,10419.0
1759181411.4337409,20.0,2045.0,0.0,1972.0,63.0,10513.0
1759181411.5622287,20.0,2021.0,0.0,1984.0,63.0,10560.0
1759181411.6902335,20.0,2021.0,0.0,1972.0,63.0,10607.0
1759181411.7248814,20.0,2033.0,0.0,1997.0,63.0,10630.0
1759181411.8559966,20.0,2021.0,0.0,1997.0,63.0,10725.0
1759181411.9761634,20.0,2021.0,0.0,1997.0,63.0,10772.0
1759181412.0404103,20.0,2045.0,0.0,2009.0,63.0,10772.0
1759181412.168179,20.0,2033.0,0.0,2009.0,63.0,10796.0
1759181412.2973282,20.0,2033.0,0.0,2009.0,63.0,10891.0
1759181412.3273253,20.0,2033.0,0.0,2009.0,63.0,10891.0
1759181412.4396157,20.0,2033.0,0.0,2021.0,47.0,10867.0
1759181412.5690877,20.0,2045.0,0.0,2009.0,47.0,10843.0
1759181412.694857,20.0,2082.0,0.0,1984.0,47.0,10915.0
1759181412.7425885,20.0,2070.0,0.0,1984.0,47.0,10843.0
1759181412.8790703,20.0,2058.0,0.0,1972.0,47.0,10725.0
1759181412.9976182,20.0,2058.0,0.0,1960.0,47.0,10678.0
1759181413.04551,20.0,2058.0,0.0,1948.0,47.0,10654.0
1759181413.1793764,20.0,2045.0,0.0,1923.0,47.0,10607.0
1759181413.3004599,20.0,2033.0,0.0,1936.0,47.0,10513.0
1759181413.3476775,20.0,2045.0,0.0,1911.0,47.0,10443.0
1759181413.4745452,20.0,2045.0,0.0,1887.0,47.0,10373.0
1759181413.6028144,20.0,2045.0,0.0,1899.0,47.0,10303.0
1759181413.6526315,20.0,2058.0,0.0,1887.0,47.0,10210.0
1759181413.7790956,20.0,2058.0,0.0,1875.0,47.0,10187.0
1759181413.9072466,20.0,2058.0,0.0,1862.0,47.0,10141.0
1759181413.9391446,20.0,2058.0,0.0,1850.0,47.0,10071.0
1759181414.066495,20.0,2045.0,0.0,1838.0,47.0,9980.0
1759181414.194335,20.0,2033.0,0.0,1826.0,47.0,9957.0
1759181414.2419982,20.0,2045.0,0.0,1826.0,47.0,9865.0
1759181414.3698983,20.0,2033.0,0.0,1826.0,47.0,9752.0
1759181414.4982889,20.0,2058.0,0.0,1801.0,79.0,9661.0
1759181414.5472836,20.0,1911.0,0.0,1862.0,79.0,9888.0
1759181414.673467,20.0,1875.0,0.0,1862.0,79.0,10025.0
1759181414.8003962,20.0,1887.0,0.0,1862.0,79.0,10071.0
1759181414.8502998,20.0,1875.0,0.0,1875.0,79.0,10025.0
1759181414.976026,20.0,1862.0,0.0,1875.0,79.0,10048.0
1759181415.1037683,20.0,1862.0,0.0,1875.0,79.0,10071.0
1759181415.1535974,20.0,1862.0,0.0,1862.0,79.0,10071.0
1759181415.28757,20.0,1862.0,0.0,1862.0,79.0,10002.0
1759181415.4081283,20.0,1862.0,0.0,1862.0,79.0,10025.0
1759181415.4560862,20.0,1862.0,0.0,1850.0,79.0,10071.0
1759181415.583504,20.0,1862.0,0.0,1862.0,79.0,10025.0
1759181415.7107675,20.0,1862.0,0.0,1887.0,79.0,10048.0
1759181415.7587302,20.0,1862.0,0.0,1862.0,79.0,10048.0
1759181415.8933654,20.0,1862.0,0.0,1838.0,79.0,10071.0
1759181416.0159235,20.0,1850.0,0.0,1862.0,79.0,10048.0
1759181416.0461493,20.0,1862.0,0.0,1862.0,79.0,10025.0
1759181416.1732008,20.0,1850.0,0.0,1875.0,79.0,10048.0
1759181416.308544,20.0,1875.0,0.0,1887.0,79.0,10071.0
1759181416.3633366,20.0,1911.0,0.0,1887.0,79.0,10117.0
1759181416.491469,20.0,1923.0,0.0,1899.0,25.0,10210.0
